C001,101 Market Rd,3000.0,Rented,Retail,10,2500.5
C002,202 Industrial St,5000.0,Available,Office,20,5000.0
C003,303 Commercial Blvd,4500.0,Available,Warehouse,15,3000.0
C004,404 Business Ave,4000.0,Rented,Office,25,6000.0
C005,505 Industrial St,3500.0,Rented,Warehouse,30,4000.0
C006,606 Market Rd,6000.0,Available,Retail,35,3500.0
C007,707 Industrial St,7000.0,Rented,Office,40,5000.0
C008,808 Commercial Blvd,8000.0,Available,Warehouse,45,4000.0
C009,909 Business Ave,9000.0,Rented,Office,50,6000.0
C010,1010 Industrial St,10000.0,Available,Warehouse,55,4000.0
C011,1111 Market Rd,11000.0,Rented,Retail,60,3500.0
C012,1212 Industrial St,12000.0,Rented,Office,65,5000.0
C013,1313 Commercial Blvd,13000.0,Available,Warehouse,70,4000.0
C014,1414 Business Ave,14000.0,Rented,Office,75,6000.0
C015,1515 Industrial St,15000.0,Rented,Warehouse,80,4000.0
C016,1616 Market Rd,16000.0,Available,Retail,85,3500.0
C017,1717 Industrial St,17000.0,Rented,Office,90,5000.0
C018,1818 Commercial Blvd,18000.0,Available,Warehouse,95,4000.0
C019,1919 Business Ave,19000.0,Rented,Office,100,6000.0
C020,2020 Industrial St,20000.0,Rented,Warehouse,110,4000.0
